cpu_infer,prefetch_num,eval_count,eval_duration,eval_rate,hit_rate
1,0,,,,
1,1,,,,
1,2,,,,
1,3,,,,
1,4,,,,
2,0,95,52.76960754394531,1.8002786911175375,0.04150246305418719
2,1,95,53.395379066467285,1.7791801774034177,0.17932302231237324
2,2,95,51.98405194282532,1.8274835540808898,0.23725912778904665
2,3,95,52.16904401779175,1.8210032748079716,0.2711080121703854
2,4,95,51.83358955383301,1.8327883678851817,0.29064039408866993
3,0,95,25.16626787185669,3.774894254631932,0.04150246305418719
3,1,95,25.1704318523407,3.7742697684849444,0.18269704433497536
3,2,95,25.180263996124268,3.772796028453965,0.23589901477832512
3,3,95,26.00197148323059,3.6535691172982094,0.274384236453202
3,4,95,25.483734130859375,3.7278681182346944,0.2925646551724138
4,0,95,16.973424673080444,5.596984805940097,0.04150246305418719
4,1,95,16.885329723358154,5.626185662728439,0.17932302231237324
4,2,95,17.068905115127563,5.565676260969128,0.23377281947261663
4,3,95,16.77829909324646,5.662075724841444,0.27358374384236456
4,4,,,,
5,0,95,12.778997659683228,7.4340728850524656,0.04150246305418719
5,1,95,12.792990446090698,7.425941604531586,0.18269704433497536
5,2,95,12.784175157546997,7.4310621396576995,0.23848522167487685
5,3,,,,
5,4,,,,
6,0,95,11.266393661499023,8.432156984239445,0.04150246305418719
6,1,95,10.342904329299927,9.18504096870344,0.17932302231237324
6,2,95,10.343665361404419,9.18436518204426,0.23611815415821502
6,3,,,,
6,4,,,,
7,0,95,8.74021315574646,10.869300131146115,0.04150246305418719
7,1,95,8.73848009109497,10.871455792044504,0.18269704433497536
7,2,95,8.704785585403442,10.913537050160095,0.235420892494929
7,3,,,,
7,4,,,,
8,0,95,7.699682712554932,12.338170746321158,0.04150246305418719
8,1,95,7.676651239395142,12.375187700657511,0.18269704433497536
8,2,95,7.553882837295532,12.576313671554407,0.2376847290640394
8,3,,,,
8,4,,,,
9,0,95,6.850936651229858,13.86671703977089,0.04150246305418719
9,1,95,6.914288759231567,13.739663370749648,0.18269704433497536
9,2,95,6.975763559341431,13.618580846649106,0.21462981744421908
9,3,,,,
9,4,,,,
10,0,95,6.537541389465332,14.531456757288614,0.04150246305418719
10,1,95,6.433618545532227,14.766184741551388,0.17932302231237324
10,2,95,6.517172336578369,14.576874002057874,0.21963742393509128
10,3,,,,
10,4,,,,
