token_id,score
734,43.75
6119,45.25
270,43.5
3452,49.0
1167,35.25
294,37.5
14692,40.5
295,40.75
5101,40.75
734,39.5
12597,41.25
3132,43.25
513,41.5
3132,32.25
339,42.75
19,54.5
16,40.5
2619,51.0
70378,56.0
63389,43.25
28,40.25
5866,43.0
14320,50.75
262,46.5
5101,41.5
769,43.25
2619,40.0
553,47.0
666,42.5
13009,41.25
14692,42.25
339,41.75
20,52.75
16,38.0
2619,41.5
80603,49.5
962,40.25
63389,37.75
28,42.5
5866,42.75
14320,53.5
262,45.75
2454,43.75
477,41.0
2619,44.5
1892,46.5
7,42.25
666,41.0
850,41.25
31089,42.5
14692,43.75
1099,43.25
13009,43.75
14692,41.5
16,42.0
539,43.25
14320,54.25
262,50.0
16807,42.5
201,45.5
262,49.75
874,50.25
2067,53.25
93,53.75
7501,46.75
294,38.75
31089,39.75
14692,39.25
95,40.5
438,48.0
223,49.25
553,51.0
940,46.0
343,48.5
1892,50.75
22284,48.75
874,47.75
10783,41.75
223,36.0
553,37.0
11,47.5
438,46.75
223,35.25
553,44.75
940,44.0
223,43.0
26,48.0
438,41.25
223,43.5
864,42.25
201,47.0
262,42.5
874,47.0
1839,49.25
21,51.0
16,37.0
2619,44.75
25228,56.25
63389,36.5
