token_id,score,prob
6119,51.5,1.0
1192,49.0,1.0
1949,47.75,1.0
95743,46.0,1.0
9118,49.75,1.0
362,41.0,1.0
270,45.25,1.0
21338,43.5,1.0
14,42.5,1.0
2513,48.0,1.0
734,48.25,1.0
1605,44.5,0.5373784899711609
1305,46.25,1.0
6531,39.25,1.0
979,43.75,1.0
19,54.25,1.0
16,44.25,1.0
2619,51.0,1.0
3536,54.0,0.785597026348114
710,38.0,0.5434055924415588
270,37.5,0.7152682542800903
7316,37.25,0.3709891140460968
20642,38.0,0.48081329464912415
305,39.75,0.851952850818634
786,40.25,1.0
6329,44.0,0.8551927804946899
28,41.5,0.9399133324623108
5866,42.5,0.8807970285415649
262,51.5,1.0
565,45.5,1.0
34559,45.0,0.7310585379600525
7550,44.5,1.0
30298,42.5,1.0
28,46.25,1.0
82349,47.25,1.0
1059,41.25,1.0
201,43.0,1.0
262,41.0,1.0
565,40.25,1.0
3280,41.75,1.0
279,33.0,1.0
42399,38.75,1.0
28,38.0,1.0
82349,39.25,1.0
2372,38.0,1.0
201,40.0,1.0
262,38.5,1.0
565,37.25,1.0
3280,40.0,1.0
279,34.0,1.0
20087,36.75,1.0
28,33.75,1.0
82349,34.5,1.0
2080,37.25,1.0
201,39.25,1.0
262,37.5,1.0
565,38.0,1.0
327,41.75,1.0
6590,38.5,1.0
28,33.5,1.0
82349,36.25,1.0
779,36.0,1.0
201,39.25,1.0
262,37.0,1.0
565,37.0,1.0
49666,40.25,1.0
28,33.0,1.0
82349,37.5,1.0
864,38.75,1.0
201,47.5,1.0
262,42.75,1.0
565,40.0,1.0
2619,42.25,0.622459352016449
53,52.25,1.0
3587,38.25,1.0
273,45.5,1.0
28,39.25,0.6037489175796509
4054,39.5,0.802151083946228
666,41.25,0.7772998809814453
343,41.5,1.0
5718,46.5,0.566491961479187
734,40.75,0.8807970285415649
34872,47.0,1.0
566,44.5,1.0
412,43.5,0.9525741338729858
1512,42.25,0.7772998809814453
1527,43.75,0.851952850818634
874,46.0,1.0
15531,46.0,0.9241418242454529
20,49.75,1.0
16,40.0,1.0
2619,44.75,1.0
22616,55.25,1.0
270,40.25,1.0
3452,43.25,1.0
3772,40.0,0.9046505093574524
9185,42.0,1.0
377,37.5,0.7281738519668579
270,37.5,0.5064803957939148
