no balance_serve
flashinfer not found, use triton for linux
using custom modeling_xxx.py.
using default_optimize_rule for DeepseekV3ForCausalLM
loading model.embed_tokens.weight to cpu
loading model.layers.0.self_attn.q_a_layernorm.weight to cuda
loading model.layers.0.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.0.self_attn.kv_b_proj.weight to cuda
loading model.layers.0.input_layernorm.weight to cuda
loading model.layers.0.post_attention_layernorm.weight to cuda
loading model.layers.1.self_attn.q_a_layernorm.weight to cuda
loading model.layers.1.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.1.self_attn.kv_b_proj.weight to cuda
loading model.layers.1.input_layernorm.weight to cuda
loading model.layers.1.post_attention_layernorm.weight to cuda
loading model.layers.2.self_attn.q_a_layernorm.weight to cuda
loading model.layers.2.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.2.self_attn.kv_b_proj.weight to cuda
loading model.layers.2.input_layernorm.weight to cuda
loading model.layers.2.post_attention_layernorm.weight to cuda
loading model.layers.3.self_attn.q_a_layernorm.weight to cuda
loading model.layers.3.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.3.self_attn.kv_b_proj.weight to cuda
loading model.layers.3.input_layernorm.weight to cuda
loading model.layers.3.post_attention_layernorm.weight to cuda
loading model.layers.4.self_attn.q_a_layernorm.weight to cuda
loading model.layers.4.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.4.self_attn.kv_b_proj.weight to cuda
loading model.layers.4.input_layernorm.weight to cuda
loading model.layers.4.post_attention_layernorm.weight to cuda
loading model.layers.5.self_attn.q_a_layernorm.weight to cuda
loading model.layers.5.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.5.self_attn.kv_b_proj.weight to cuda
loading model.layers.5.input_layernorm.weight to cuda
loading model.layers.5.post_attention_layernorm.weight to cuda
loading model.layers.6.self_attn.q_a_layernorm.weight to cuda
loading model.layers.6.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.6.self_attn.kv_b_proj.weight to cuda
loading model.layers.6.input_layernorm.weight to cuda
loading model.layers.6.post_attention_layernorm.weight to cuda
loading model.layers.7.self_attn.q_a_layernorm.weight to cuda
loading model.layers.7.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.7.self_attn.kv_b_proj.weight to cuda
loading model.layers.7.input_layernorm.weight to cuda
loading model.layers.7.post_attention_layernorm.weight to cuda
loading model.layers.8.self_attn.q_a_layernorm.weight to cuda
loading model.layers.8.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.8.self_attn.kv_b_proj.weight to cuda
loading model.layers.8.input_layernorm.weight to cuda
loading model.layers.8.post_attention_layernorm.weight to cuda
loading model.layers.9.self_attn.q_a_layernorm.weight to cuda
loading model.layers.9.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.9.self_attn.kv_b_proj.weight to cuda
loading model.layers.9.input_layernorm.weight to cuda
loading model.layers.9.post_attention_layernorm.weight to cuda
loading model.layers.10.self_attn.q_a_layernorm.weight to cuda
loading model.layers.10.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.10.self_attn.kv_b_proj.weight to cuda
loading model.layers.10.input_layernorm.weight to cuda
loading model.layers.10.post_attention_layernorm.weight to cuda
loading model.layers.11.self_attn.q_a_layernorm.weight to cuda
loading model.layers.11.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.11.self_attn.kv_b_proj.weight to cuda
loading model.layers.11.input_layernorm.weight to cuda
loading model.layers.11.post_attention_layernorm.weight to cuda
loading model.layers.12.self_attn.q_a_layernorm.weight to cuda
loading model.layers.12.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.12.self_attn.kv_b_proj.weight to cuda
loading model.layers.12.input_layernorm.weight to cuda
loading model.layers.12.post_attention_layernorm.weight to cuda
loading model.layers.13.self_attn.q_a_layernorm.weight to cuda
loading model.layers.13.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.13.self_attn.kv_b_proj.weight to cuda
loading model.layers.13.input_layernorm.weight to cuda
loading model.layers.13.post_attention_layernorm.weight to cuda
loading model.layers.14.self_attn.q_a_layernorm.weight to cuda
loading model.layers.14.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.14.self_attn.kv_b_proj.weight to cuda
loading model.layers.14.input_layernorm.weight to cuda
loading model.layers.14.post_attention_layernorm.weight to cuda
loading model.layers.15.self_attn.q_a_layernorm.weight to cuda
loading model.layers.15.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.15.self_attn.kv_b_proj.weight to cuda
loading model.layers.15.input_layernorm.weight to cuda
loading model.layers.15.post_attention_layernorm.weight to cuda
loading model.layers.16.self_attn.q_a_layernorm.weight to cuda
loading model.layers.16.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.16.self_attn.kv_b_proj.weight to cuda
loading model.layers.16.input_layernorm.weight to cuda
loading model.layers.16.post_attention_layernorm.weight to cuda
loading model.layers.17.self_attn.q_a_layernorm.weight to cuda
loading model.layers.17.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.17.self_attn.kv_b_proj.weight to cuda
loading model.layers.17.input_layernorm.weight to cuda
loading model.layers.17.post_attention_layernorm.weight to cuda
loading model.layers.18.self_attn.q_a_layernorm.weight to cuda
loading model.layers.18.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.18.self_attn.kv_b_proj.weight to cuda
loading model.layers.18.input_layernorm.weight to cuda
loading model.layers.18.post_attention_layernorm.weight to cuda
loading model.layers.19.self_attn.q_a_layernorm.weight to cuda
loading model.layers.19.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.19.self_attn.kv_b_proj.weight to cuda
loading model.layers.19.input_layernorm.weight to cuda
loading model.layers.19.post_attention_layernorm.weight to cuda
loading model.layers.20.self_attn.q_a_layernorm.weight to cuda
loading model.layers.20.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.20.self_attn.kv_b_proj.weight to cuda
loading model.layers.20.input_layernorm.weight to cuda
loading model.layers.20.post_attention_layernorm.weight to cuda
loading model.layers.21.self_attn.q_a_layernorm.weight to cuda
loading model.layers.21.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.21.self_attn.kv_b_proj.weight to cuda
loading model.layers.21.input_layernorm.weight to cuda
loading model.layers.21.post_attention_layernorm.weight to cuda
loading model.layers.22.self_attn.q_a_layernorm.weight to cuda
loading model.layers.22.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.22.self_attn.kv_b_proj.weight to cuda
loading model.layers.22.input_layernorm.weight to cuda
loading model.layers.22.post_attention_layernorm.weight to cuda
loading model.layers.23.self_attn.q_a_layernorm.weight to cuda
loading model.layers.23.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.23.self_attn.kv_b_proj.weight to cuda
loading model.layers.23.input_layernorm.weight to cuda
loading model.layers.23.post_attention_layernorm.weight to cuda
loading model.layers.24.self_attn.q_a_layernorm.weight to cuda
loading model.layers.24.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.24.self_attn.kv_b_proj.weight to cuda
loading model.layers.24.input_layernorm.weight to cuda
loading model.layers.24.post_attention_layernorm.weight to cuda
loading model.layers.25.self_attn.q_a_layernorm.weight to cuda
loading model.layers.25.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.25.self_attn.kv_b_proj.weight to cuda
loading model.layers.25.input_layernorm.weight to cuda
loading model.layers.25.post_attention_layernorm.weight to cuda
loading model.layers.26.self_attn.q_a_layernorm.weight to cuda
loading model.layers.26.self_attn.kv_a_layernorm.weight to cuda
loading model.layers.26.self_attn.kv_b_proj.weight to cuda
