token_id,score,prob
6119,47.0,0.851952850818634
1192,43.75,0.6791787147521973
1949,44.75,1.0
83257,43.5,1.0
77901,44.5,0.8807970285415649
362,41.25,0.6914383769035339
3946,45.25,1.0
223,41.5,1.0
553,41.5,1.0
4343,42.0,1.0
260,44.75,0.5897976160049438
2173,39.5,1.0
362,45.25,0.9241418242454529
223,43.5,1.0
23,38.75,1.0
3137,40.0,1.0
14,42.25,0.9399133324623108
579,42.5,0.8978958129882812
5922,48.25,1.0
4189,46.75,0.622459352016449
1910,43.75,1.0
969,44.25,0.7310585379600525
3353,42.25,0.5186188220977783
1055,41.0,1.0
5836,45.75,0.8807970285415649
305,45.0,0.7310585379600525
56002,44.0,1.0
4343,42.25,0.8978958129882812
339,40.25,0.9525741338729858
795,52.0,0.5685464143753052
2619,45.25,0.622459352016449
22863,53.25,0.7772998809814453
28,44.75,1.0
5866,43.75,0.9046505093574524
15,19.5,1.0
2619,49.75,1.0
51549,54.25,0.562176525592804
56316,42.0,0.6479820609092712
23542,49.25,1.0
11490,44.25,0.9241418242454529
82349,46.0,1.0
864,41.0,1.0
16,46.5,1.0
504,43.25,1.0
201,44.25,1.0
15,21.125,1.0
2619,43.25,1.0
49,55.0,0.9399133324623108
2404,41.25,1.0
723,42.25,1.0
3711,35.5,0.36869016289711
11490,36.0,1.0
223,37.0,0.6958519220352173
19,37.0,1.0
16,42.0,1.0
23,42.0,1.0
2734,43.75,0.8807970285415649
270,44.5,1.0
5836,48.5,1.0
3711,45.5,0.528252124786377
343,43.0,0.7772998809814453
9808,39.75,0.4578133225440979
344,39.0,1.0
82349,37.0,0.9626730680465698
864,41.5,1.0
940,42.25,0.562176525592804
82349,40.5,0.8175744414329529
27,44.0,1.0
438,42.5,1.0
82349,40.75,1.0
1477,44.75,1.0
716,43.5,0.8921726942062378
6857,45.25,1.0
682,42.5,1.0
15,19.875,1.0
2619,42.5,1.0
51549,52.0,0.7685218453407288
4343,40.75,0.6285316944122314
716,41.75,1.0
2173,43.75,0.622459352016449
11490,39.25,1.0
223,43.0,1.0
26,38.75,1.0
4343,43.75,0.851952850818634
201,44.0,1.0
15,21.375,1.0
2619,44.5,1.0
49,57.5,1.0
2404,36.75,1.0
723,38.25,1.0
4343,37.75,1.0
716,41.5,1.0
2173,41.0,1.0
11490,38.75,1.0
223,42.25,1.0
20,38.5,0.5
4343,43.25,1.0
343,45.75,1.0
36887,47.75,0.8807970285415649
