cpu_infer,prefetch_num,eval_count,eval_duration,eval_rate,hit_rate
2,-1,35,34.7123384475708,1.008287011630279,0.18756338742393508
2,0,36,35.85696196556091,1.0039891286544707,0.18786945812807881
2,1,35,30.93774676322937,1.1313041078220591,0.2759254563894523
2,2,35,30.076611757278442,1.1636949096013156,0.3031820486815416
2,3,36,30.5738525390625,1.1774767329045241,0.30929802955665026
2,4,36,30.655983924865723,1.1743221189126352,0.31551724137931036
3,-1,36,20.434825897216797,1.7616983957227237,0.18786945812807881
3,0,35,20.25336265563965,1.7281080971635137,0.18756338742393508
3,1,35,18.47115135192871,1.8948466900167211,0.2759254563894523
3,2,36,18.608722686767578,1.934576628711821,0.30603448275862066
3,3,35,17.974396228790283,1.947214223748954,0.3097743407707911
3,4,36,18.790807008743286,1.9158304368327208,0.31059113300492613
4,-1,36,15.759020566940308,2.2844059278355,0.18786945812807881
4,0,35,15.488556146621704,2.2597329065843264,0.18756338742393508
4,1,35,14.491925716400146,2.415137966129055,0.2759254563894523
4,2,36,14.762695789337158,2.4385790043849704,0.30560344827586206
4,3,35,14.094856262207031,2.483175376101321,0.31154918864097364
4,4,37,17.560290813446045,2.1070266086748872,0.288852969348659
5,-1,36,13.454342126846313,2.6757161116162558,0.18786945812807881
5,0,36,13.553834915161133,2.656074847106991,0.18786945812807881
5,1,35,12.604923963546753,2.776692671944667,0.2759254563894523
5,2,36,13.027220487594604,2.763444438073465,0.3061576354679803
5,3,35,13.933574914932251,2.511918169865467,0.29988590263691683
5,4,37,17.394574880599976,2.1270999868623286,0.27801724137931033
6,-1,35,11.609462022781372,3.0147822466983505,0.18756338742393508
6,0,36,12.359070062637329,2.91284051450048,0.18786945812807881
6,1,35,11.546479225158691,3.031227036180717,0.2759254563894523
6,2,36,11.819071531295776,3.04592453854564,0.30597290640394087
6,3,35,13.77021861076355,2.5417170917418916,0.28746196754563896
6,4,37,18.773157596588135,1.9708991313600033,0.2701748084291188
7,-1,35,10.984030961990356,3.18644404054537,0.18756338742393508
7,0,35,11.434194564819336,3.0609939162385604,0.18756338742393508
7,1,35,10.979905128479004,3.187641385827565,0.2759254563894523
7,2,35,11.044353008270264,3.169040320767654,0.304196247464503
7,3,38,15.064868211746216,2.5224249867895328,0.2848904939422181
7,4,38,18.629581689834595,2.039766680361645,0.2656104380242311
8,-1,35,10.505406856536865,3.331617754358715,0.18756338742393508
8,0,36,11.134611368179321,3.233161788015467,0.18786945812807881
8,1,35,10.324521541595459,3.3899875998119535,0.2759254563894523
8,2,35,10.33566403388977,3.3863329811454737,0.30476673427991885
8,3,38,14.630085229873657,2.5973874658232705,0.28809412861137
8,4,36,17.671687602996826,2.037156881038062,0.2683497536945813
9,-1,36,11.63538146018982,3.0940111523780414,0.18786945812807881
9,0,35,10.425273656845093,3.3572260213063547,0.18756338742393508
9,1,35,10.136979103088379,3.4527051544711913,0.2759254563894523
9,2,36,13.209677934646606,2.725274618965424,0.2935344827586207
9,3,37,14.699016332626343,2.5171752423918177,0.28130986590038315
9,4,100,50.096023082733154,1.9961664388977716,0.2902951933124347
10,-1,36,10.00140643119812,3.5994937559684166,0.18786945812807881
10,0,35,10.236916303634644,3.4189983547656007,0.18756338742393508
10,1,35,10.006757736206055,3.497636389593443,0.2759254563894523
10,2,36,10.456149578094482,3.442949981838401,0.3062192118226601
10,3,38,15.229851007461548,2.495099918008567,0.28285181733457593
10,4,37,18.849504470825195,1.9629163226687312,0.2670019157088122
