timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767162138.700219,0,0,21518.5625,87.60202939260708,11.962890625,114.697265625,0.9,22.8
1767162138.8440979,0,0,21528.5625,87.64273937469468,306.15234375,0.29296875,1.7,0.0
1767162138.9860516,0,0,21528.5625,87.64273937469468,572.16796875,0.29296875,4.9,0.0
1767162139.1281068,0,0,21528.5625,87.64273937469468,0.341796875,0.29296875,3.8,0.0
1767162139.2697947,0,0,21528.5625,87.64273937469468,0.29296875,0.5859375,3.0,0.0
1767162139.4320607,21,1,21528.5625,87.64273937469468,267.7734375,6509.5703125,3.2,0.0
1767162139.5742118,21,1,21528.5625,87.64273937469468,2.34375,9764.501953125,3.2,0.0
1767162139.716562,21,1,21528.5625,87.64273937469468,281.787109375,6349.31640625,3.1,0.0
1767162139.8585474,21,1,21528.5625,87.64273937469468,186.328125,7410.888671875,3.3,0.0
1767162140.0005105,21,1,21528.5625,87.64273937469468,242.7734375,6815.380859375,3.1,0.0
1767162140.142794,21,1,21528.5625,87.64273937469468,735.3515625,1038.4765625,3.2,7.0
1767162140.2846932,21,1,21528.5625,87.64273937469468,746.6796875,0.29296875,3.0,0.0
1767162140.4268644,29,1,21528.5625,87.64273937469468,577.685546875,20.703125,3.3,7.0
1767162140.5688019,29,1,21528.5625,87.64273937469468,402.001953125,2868.84765625,3.2,0.0
1767162140.7111452,29,1,21528.5625,87.64273937469468,182.666015625,3921.97265625,4.7,0.0
1767162140.8539305,29,1,21528.5625,87.64273937469468,0.29296875,3842.236328125,4.4,0.0
1767162140.996133,29,1,21528.5625,87.64273937469468,0.341796875,3884.326171875,4.3,0.0
1767162141.1383064,29,1,21528.5625,87.64273937469468,0.341796875,6762.20703125,4.1,0.0
1767162141.280217,29,1,21528.5625,87.64273937469468,0.341796875,0.341796875,3.5,0.0
1767162141.442338,32,1,21528.5625,87.64273937469468,828.02734375,0.29296875,2.9,7.1
1767162141.584147,32,1,21528.5625,87.64273937469468,852.099609375,0.29296875,3.5,0.0
1767162141.7260077,32,1,21528.5625,87.64273937469468,3.3203125,0.29296875,2.3,0.0
1767162141.8683753,32,1,21530.5625,87.6508813711122,0.341796875,0.29296875,0.5,0.0
1767162142.0104284,32,1,21530.5625,87.6508813711122,0.341796875,0.29296875,0.5,0.0
1767162142.1519067,32,1,21558.5625,87.7648693209575,390.576171875,3324.90234375,2.3,0.0
1767162142.2944262,32,1,21558.5625,87.7648693209575,323.974609375,4919.580078125,3.4,7.0
1767162142.4362938,45,8,21558.5625,87.7648693209575,110.546875,3709.814453125,3.3,0.0
1767162142.578795,45,8,21558.5625,87.7648693209575,430.322265625,4934.228515625,3.3,0.0
1767162142.7214158,45,8,21558.5625,87.7648693209575,423.388671875,3721.240234375,3.2,0.0
1767162142.8636415,45,8,21558.5625,87.7648693209575,459.912109375,4767.3828125,3.4,0.0
1767162143.0069404,45,8,21558.5625,87.7648693209575,323.6328125,4931.93359375,3.2,0.0
1767162143.1491575,45,8,21558.5625,87.7648693209575,351.3671875,3715.673828125,3.1,0.0
1767162143.2914383,45,8,21558.5625,87.7648693209575,367.724609375,3308.49609375,3.6,7.0
1767162143.4339757,48,10,21558.5625,87.7648693209575,53.369140625,4101.611328125,3.6,0.0
1767162143.5766938,48,10,21558.5625,87.7648693209575,444.62890625,4929.296875,3.3,0.0
1767162143.7190244,48,10,21558.5625,87.7648693209575,325.78125,6154.00390625,3.4,0.0
1767162143.86169,48,10,21558.5625,87.7648693209575,445.41015625,4671.533203125,3.3,7.0
1767162144.005111,48,10,21558.5625,87.7648693209575,429.541015625,3715.91796875,3.3,0.0
1767162144.1472616,48,10,21558.5625,87.7648693209575,324.951171875,6150.48828125,3.3,0.0
